Player Name,Club
Djaoui Cisse,Stade Rennais FC
Mahdi Camara,Stade Rennais FC
Valentin Rongier,Stade Rennais FC
Glen Kamara,Stade Rennais FC
Ludovic Blas,Stade Rennais FC
Sebastian Szymanski,Stade Rennais FC
Mousa Tamari,Stade Rennais FC
Arnaud Nordin,Stade Rennais FC
Elias Legendre Quinonez,Stade Rennais FC
Nordan Mukiele,Stade Rennais FC
Esteban Lepaul,Stade Rennais FC
Breel Embolo,Stade Rennais FC
Yassir Zabiri,Stade Rennais FC
Robin Risser,RC Lens
Mathieu Gorgelin,RC Lens
Regis Gurtner,RC Lens
Ilan Jourdren,RC Lens
Samson Baidoo,RC Lens
Malang Sarr,RC Lens
Ismaelo Ganiou,RC Lens
Nidal Celik,RC Lens
Jonathan Gradit,RC Lens
Kyllian Antonio,RC Lens
Matthieu Udol,RC Lens
Arthur Masuaku,RC Lens
Saud Abdulhamid,RC Lens
Ruben Aguilar,RC Lens
Fode Sylla,RC Lens
Mamadou Sangare,RC Lens
Amadou Haidara,RC Lens
Andrija Bulatovic,RC Lens
Adrien Thomasson,RC Lens
Alpha Diallo,RC Lens
Allan Saint-Maximin,RC Lens
Abdallah Sima,RC Lens
Anthony Bermont,RC Lens
Florian Thauvin,RC Lens
Erawan Garnier,RC Lens
Wesley Said,RC Lens
Odsonne Edouard,RC Lens
Rayan Fofana,RC Lens
Florian Sotoca,RC Lens
Kail Boudache,OGC Nice
Bartosz Zelazowski,OGC Nice
Maxime Dupe,OGC Nice
Yehvann Diouf,OGC Nice
Theo Bruyere,OGC Nice
Juma Bah,OGC Nice
Mohamed Abdelmonem,OGC Nice
Dante,OGC Nice
Youssouf Ndayishimiye,OGC Nice
Moise Bombito,OGC Nice
Melvin Bard,OGC Nice
Ali Abdi,OGC Nice
Jonathan Clauss,OGC Nice
Antoine Mendy,OGC Nice
Hicham Boudaoui,OGC Nice
Morgan Sanson,OGC Nice
Tanguy Ndombele,OGC Nice
Sofiane Diop,OGC Nice
Charles Vanhoutte,OGC Nice
Tom Louchet,OGC Nice
Salis Abdul Samed,OGC Nice
Mohamed-Ali Cho,OGC Nice
Isak Jansson,OGC Nice
Elye Wahi,OGC Nice
Tiago Gouveia,OGC Nice
Kevin Carlos,OGC Nice
Laurenzo Monteiro,OGC Nice
Djibril Coulibaly,OGC Nice
Kojo Peprah Oppong,OGC Nice
Gabin Bernardeau,OGC Nice
Guillaume Restes,Toulouse FC
Kjetil Haug,Toulouse FC
Alex Dominguez,Toulouse FC
Charlie Cresswell,Toulouse FC
Mark McKenzie,Toulouse FC
Rasmus Nicolaisen,Toulouse FC
Seny Koumbassa,Toulouse FC
Dayann Methalie,Toulouse FC
Warren Kamanzi,Toulouse FC
Rafik Messali,Toulouse FC
Djibril Sidibe,Toulouse FC
Alexis Vossah,Toulouse FC
Cristian Casseres Jr.,Toulouse FC
Pape Demba Diop,Toulouse FC
Abu Francis,Toulouse FC
Mario Sauer,Toulouse FC
Aron Dnnum,Toulouse FC
Yann Gboho,Toulouse FC
Emersonn,Toulouse FC
Frank Magri,Toulouse FC
Santiago Hidalgo,Toulouse FC
Jacen Russell-Rowe,Toulouse FC
Julian Vignolo,Toulouse FC
Enzo Faty,Toulouse FC
Obed Nkambadio,Paris FC
Kevin Trapp,Paris FC
Remy Riou,Paris FC
Otavio,Paris FC
Diego Coppola,Paris FC
Moustapha Mbow,Paris FC
Samir Chergui,Paris FC
Timothee Kolodziejczak,Paris FC
Nhoa Sangui,Paris FC
Thibault De Smet,Paris FC
Tuomas Ollila,Paris FC
Hamari Traore,Paris FC
Sofiane Alakouch,Paris FC
Maxime Lopez,Paris FC
Pierre Lees-Melou,Paris FC
Adama Camara,Paris FC
Rudy Matondo,Paris FC
Marshall Munetsi,Paris FC
Vincent Marchetti,Paris FC
Moses Simon,Paris FC
Alimami Gory,Paris FC
Julien Lopez,Paris FC
Ilan Kebbal,Paris FC
Luca Koleosho,Paris FC
Jonathan Ikone,Paris FC
Mathieu Cafaro,Paris FC
Lamine Gueye,Paris FC
Willem Geubbels,Paris FC
Jean-Philippe Krasso,Paris FC
Ciro Immobile,Paris FC
Pierre-Yves Hamel,Paris FC
Anthony Lopes,FC Nantes
Patrik Carlgren,FC Nantes
Alexis Mirbach,FC Nantes
Tylel Tati,FC Nantes
Nicolas Cozza,FC Nantes
Abakar Sylla,FC Nantes
Chidozie Awaziem,FC Nantes
Ali Youssif,FC Nantes
Uros Radakovic,FC Nantes
Sekou Doucoure,FC Nantes
Deiver Machado,FC Nantes
Kelvin Amian,FC Nantes
Fabien Centonze,FC Nantes
Frederic Guilbert,FC Nantes
Mathieu Acapandie,FC Nantes
Johann Lepenant,FC Nantes
Ibrahima Sissoko,FC Nantes
Bahmed Deuff,FC Nantes
Francis Coquelin,FC Nantes
Dehmaine Tabibou,FC Nantes
Mohamed Kaba,FC Nantes
Louis Leroux,FC Nantes
Remy Cabella,FC Nantes
Herba Guirassy,FC Nantes
Matthis Abline,FC Nantes
Mostafa Mohamed,FC Nantes
Ignatius Ganago,FC Nantes
Amady Camara,FC Nantes
Youssef El Arabi,FC Nantes
Yvon Mvogo,FC Lorient
Bingourou Kamara,FC Lorient
Benjamin Leroy,FC Lorient
Montassar Talbi,FC Lorient
Bamo Meite,FC Lorient
Abdoulaye Faye,FC Lorient
Isaak Toure,FC Lorient
Nathaniel Adjei,FC Lorient
Arsene Kouassi,FC Lorient
Darlin Yongwa,FC Lorient
Igor Silva,FC Lorient
Laurent Abergel,FC Lorient
Arthur Avom,FC Lorient
Noah Cadiou,FC Lorient
Theo Le Bris,FC Lorient
Panos Katseris,FC Lorient
Jean-Victor Makengo,FC Lorient
Dermane Karim,FC Lorient
Bandiougou Fadiga,FC Lorient
Pablo Pagis,FC Lorient
Trevan Sanusi,FC Lorient
Bamba Dieng,FC Lorient
Sambou Soumano,FC Lorient
Mohamed Bamba,FC Lorient
Aiyegun Tosin,FC Lorient
Junior Diaz, Stade Brestois 29
Serigne Saliou Diop, Stade Brestois 29
Radoslaw Majecki,Stade Brestois 29
Gregoire Coudert,Stade Brestois 29
Brendan Chardonnet,Stade Brestois 29
Bradley Locko,Stade Brestois 29
Kenny Lala,Stade Brestois 29
Luck Zogbe,Stade Brestois 29
Daouda Guindo,Stade Brestois 29
Soumaila Coulibaly,Stade Brestois 29
Raphael Le Guen,Stade Brestois 29
Hugo Magnetti,Stade Brestois 29
Joris Chotard,Stade Brestois 29
Eric Junior Dina Ebimbe,Stade Brestois 29
Kamory Doumbia,Stade Brestois 29
Lucas Tousart,Stade Brestois 29
Romain Del Castillo,Stade Brestois 29
Ludovic Ajorque,Stade Brestois 29
Remy Labeau Lascary,Stade Brestois 29
Mama Balde,Stade Brestois 29
Saliou Diop,Stade Brestois 29
Pathe Mboup,Stade Brestois 29
Noah Jauny,Stade Brestois 29
Hamidou Makalou,Stade Brestois 29
Donovan Leon,AJ Auxerre
Theo De Percin,AJ Auxerre
Tom Negrel,AJ Auxerre
Louis Mezerette,AJ Auxerre
Clement Akpa,AJ Auxerre
Sinaly Diomande,AJ Auxerre
Bryan Okoh,AJ Auxerre
Francisco Sierralta,AJ Auxerre
Telli Siwe,AJ Auxerre
Elikya Legros,AJ Auxerre
Alvin Petit Dol,AJ Auxerre
Gideon Mensah,AJ Auxerre
Fredrik Oppegard,AJ Auxerre
Marvin Senaya,AJ Auxerre
Lamine Sy,AJ Auxerre
Elisha Owusu,AJ Auxerre
Oussama El Azzouzi,AJ Auxerre
Assane Diousse,AJ Auxerre
Nathan Buayi-Kiala,AJ Auxerre
Kevin Danois,AJ Auxerre
Naouirou Ahamada,AJ Auxerre
Tidiane Devernois,AJ Auxerre
Romain Faivre,AJ Auxerre
Danny Namaso,AJ Auxerre
Josue Casimir,AJ Auxerre
Lasso Coulibaly,AJ Auxerre
Lassine Sinayoko,AJ Auxerre
Sekou Mara,AJ Auxerre
Ryan Rodin,AJ Auxerre
Mory Diaw,Le Havre AC
Lionel Mpasi-Nzau,Le Havre AC
Paul Argney,Le Havre AC
